url,full_title_tesim,spotlight_upload_attribution_tesim,spotlight_upload_date_tesim
http://library.ucsd.edu/dc/object/bb0035178z/_2.jpg,"""The Beginning"" [title slide]",,"July, 1975"
http://library.ucsd.edu/dc/object/bb0001050m/_2.jpg,Students and faculty at the Revelle College dedication ceremony,,"October 1, 1965"
http://library.ucsd.edu/dc/object/bb00693088/_2.jpg,"Roof of Mayer Hall with undeveloped mesas in background, facing southeast",,"November, 1964"
http://library.ucsd.edu/dc/object/bb0103438r/_2.jpg,Students gather and eat watermelon at the first annual Watermelon Drop,,"June 4, 1965"
http://library.ucsd.edu/dc/object/bb0137568f/_2.jpg,"Howard Warshaw, art professor from UC Santa Barbara",,"August, 1966"
http://library.ucsd.edu/dc/object/bb0137569z/_2.jpg,"Bonner Hall and Breezeway from Urey Hall, facing northeast",,"November, 1964"
http://library.ucsd.edu/dc/object/bb52229413/_2.jpg,Parents and students at UCSD Welcome Day event,,"September 26, 1965"
http://library.ucsd.edu/dc/object/bb5257067b/_2.jpg,"""First Student Elections"" [title slide]",,"July, 1975"
http://library.ucsd.edu/dc/object/bb5257068v/_2.jpg,Revelle College Residence Halls under construction,,"May, 1965"
http://library.ucsd.edu/dc/object/bb51205503/_2.jpg,Roger Revelle speaking at the Revelle College dedication ceremony,,"October 1, 1965"
http://library.ucsd.edu/dc/object/bb5154677x/_2.jpg,York Hall under construction,,"May, 1965"
http://library.ucsd.edu/dc/object/bb4847506j/_2.jpg,Event between Bonner Hall and Mayer Hall,,"November, 1965"
http://library.ucsd.edu/dc/object/bb48816391/_2.jpg,A student photographer,,"June, 1965"
http://library.ucsd.edu/dc/object/bb5018161w/_2.jpg,Revelle Commons,,"September, 1965"
http://library.ucsd.edu/dc/object/bb4984027d/_2.jpg,"North Torrey Pines Road under construction, looking north",,"June, 1965"
http://library.ucsd.edu/dc/object/bb4779248s/_2.jpg,Students at UCSD's Constitutional Convention,,"November 20, 1964"
http://library.ucsd.edu/dc/object/bb4710989c/_2.jpg,"View of La Jolla Farms from Urey Hall, looking northwest",,"January, 1964"
http://library.ucsd.edu/dc/object/bb4745117k/_2.jpg,Natatorium under construction,,"January, 1967"
http://library.ucsd.edu/dc/object/bb5052286x/_2.jpg,York Hall under construction,,"September, 1965"
http://library.ucsd.edu/dc/object/bb5052287f/_2.jpg,"Blake Hall site from Urey Hall, facing west",,"January, 1964"
http://library.ucsd.edu/dc/object/bb4949895w/_2.jpg,Group of students gathered for the first annual watermelon drop,,"June 4, 1965"
http://library.ucsd.edu/dc/object/bb4949896d/_2.jpg,Intersection of Highway 101 and Miramar Road with Bonner Hall at right,,"January, 1964"
