url,full_title_tesim,spotlight_upload_attribution_tesim,spotlight_upload_date_tesim
http://library.ucsd.edu/dc/object/bb8601935t/_2.jpg,"Ren bu fan wo, wo bu fan ren, ren ruo fan wo, wo bi fan ren",,1970
http://library.ucsd.edu/dc/object/bb5325458j/_1_2.jpg,Zhi qu Weihu Shan: ge min xian dai jing ju,,1970
http://library.ucsd.edu/dc/object/bb28680966/_2.jpg,Hui zhan nian dai,"Zhao, Zhitian, 1940-",1975
http://library.ucsd.edu/dc/object/bb92162750/_2.jpg,Rang zhe xue bian wei qun zhong shou li de jian rui wu qi,"Tianjin Shi gong ye zhan lan guan, Ge ming wei yuan hui",1971
http://library.ucsd.edu/dc/object/bb9557574s/_2.jpg,Mao zhu xi shi shi jie ren min xin zhong de hong tai yang,,1967
http://library.ucsd.edu/dc/object/bb7066084n/_2.jpg,Yi qie fan dong pai dou shi zhi lao hu,,1968
http://library.ucsd.edu/dc/object/bb0922685m/_2.jpg,Zhi qu Weihu Shan: ge min xian dai jing ju,,1970
http://library.ucsd.edu/dc/object/bb9318665g/_2.jpg,Hua zhu xi zai Yi liu liu zhong xue jia zhang hui shang,"Shu, Junci; Wang, Zhaoqing; Wen, Guozhang; Zhao, Shiying",1977
http://library.ucsd.edu/dc/object/bb4711115r/_2.jpg,"Quan shi jie wu chan zhe, lian he qi lai!",Jie fang jun hua bao she,1971
http://library.ucsd.edu/dc/object/bb0205955k/_2.jpg,Bo Hai yu ge,"Zhang, Enjei",1974
http://library.ucsd.edu/dc/object/bb08202954/_2.jpg,Zhan shi hai,"Hechi Diqu (China), Wen hua ju; Huang, Zonghai",1975
http://library.ucsd.edu/dc/object/bb4472207d/_2.jpg,Hongqi qu,Ren min mei shu chu ban she,1972
http://library.ucsd.edu/dc/object/bb38237365/_2.jpg,Zhi qu Weihu Shan: ge min xian dai jing ju,,1970
http://library.ucsd.edu/dc/object/bb3516566j/_2.jpg,Zu guo jian she xin cheng jiu,,197u
http://library.ucsd.edu/dc/object/bb5393714q/_2.jpg,Hong deng ji: ge ming xian dai jing ju,,1970
http://library.ucsd.edu/dc/object/bb2526794x/_2.jpg,Yan bao jian cao tu jie: Yan bao jian cao tu jie,"Shanghai Shi yan bing pi fu bing fang zhi suo; Zhang, Yihao",1979
http://library.ucsd.edu/dc/object/bb3482435s/_2.jpg,Da bu jin chai lang jue bu xia zhan chang,,1970
http://library.ucsd.edu/dc/object/bb6042184c/_2.jpg,Shuang yu ji qing,"An, Weixin; Tianjin Yangliuqing hua she",1989
http://library.ucsd.edu/dc/object/bb2799835k/_2.jpg,Yi ding yao jie fang Taiwan: We are determined to liberate Taiwan! = Nous libérerons Taiwan! = Wir werden Taïwan unbedingt befreien!,Shanghai Shi chu ban ge ming zu,1967
http://library.ucsd.edu/dc/object/bb5052414d/_2.jpg,Jing zhu Mao zhu xi wan shou wu jiang,,1967
http://library.ucsd.edu/dc/object/bb6008054f/_2.jpg,Wo men zui jing ai de wei da ling xiu Mao zhu xi he ta de qing mi zhan you Lin Biao tong zhi zai yi qi,,1967
http://library.ucsd.edu/dc/object/bb2117235z/_2.jpg,Taiwan tong bao wo de gu rou xiong di,"Yang, Yingbiao",1976
http://library.ucsd.edu/dc/object/bb9659963r/_2.jpg,Zhonghua Renmin Gongheguo wan sui,"Shen, Shaolun; Wang, Weixu",1974
http://library.ucsd.edu/dc/object/bb80217254/_2.jpg,"Wei wei da ling xiu Mao zhu xi zheng guang, wei wei da she hui zhu yi zu guo zheng guang",Zhong yang gong yi mei shu xue yuan (China),1970
http://library.ucsd.edu/dc/object/bb63834877/_2.jpg,Ying feng fei yan,"Chen, Zongwu; Pei, Kaixin; Zhang, Guang; Zhang, Huoming",1975
http://library.ucsd.edu/dc/object/bb1912456q/_2.jpg,Shi zuo hong deng ji cheng ren,,1970
http://library.ucsd.edu/dc/object/bb4130906n/_2.jpg,"Xiang Wang Guofu tong zhi xue xi!: ""La ge ming che bu song tao, yi zhi la dao gong chan zhu yi""",,1970
http://library.ucsd.edu/dc/object/bb2185495k/_2.jpg,"She hui zhu yi hao: Socialism is fine = Le socialisme, c'est bien! = Der Sozialismus ist gut!",,1968
http://library.ucsd.edu/dc/object/bb08885554/_2.jpg,Chun yu,"Zhong, Zhaolin",1975
http://library.ucsd.edu/dc/object/bb9864745x/_2.jpg,Yan'an jing shen fang guang mang,,1971
http://library.ucsd.edu/dc/object/bb7680427f/_2.jpg,"Resolutely support the anti-imperialist struggles of the people of Asia, Africa and Latin America: Soutenir fermement la lutte anti-impérialiste des peoples d'Asie, d'Afrique et d'Amérique latine = Firme apoyo a la lucha antiimperialista de los pueblos de Asia, Africa y América Latina",,1967
http://library.ucsd.edu/dc/object/bb1502896p/_2.jpg,The evil system of colonialism and imperialism,,1968
http://library.ucsd.edu/dc/object/bb3414177k/_2.jpg,Bing min shi sheng li zhi ben,Beijing Shi 76 zhong xue,1970
http://library.ucsd.edu/dc/object/bb82947665/_2.jpg,Shan shan de hong xing,Ba yi dian ying zhi pian chang,1975
http://library.ucsd.edu/dc/object/bb7919335j/_2.jpg,"""Wu · qi zhi shi"" wan sui!","China, Zhongguo ren min jie fang jun., Chengdu bu dui",1971
http://library.ucsd.edu/dc/object/bb8260634f/_2.jpg,"Quan shi jie ren min tuan jie qi lai, da bai Meiguo qin lüe zhe ji qi yi qie zou gou!","Beijing liao qi chang, Ge wei hui., Zheng gong zu",1971
