url,full_title_tesim,spotlight_upload_attribution_tesim,spotlight_upload_date_tesim
http://library.ucsd.edu/dc/object/bb3209191f/_2.jpg,Flit advertisement,"Flit; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb63150198/_2.jpg,Flit advertisement,"Flit; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb2492460q/_2.jpg,Flit advertisement proof,"Flit; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb7134144j/_2.jpg,Flit advertisement,"Flit; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb17074713/_2.jpg,Contractor postal cards,"Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb3175059v/_2.jpg,Vico Motor Oil advertisement,"Seuss, Dr.; Standard Oil Company",1930-1940
http://library.ucsd.edu/dc/object/bb8635861j/_2.jpg,Flit advertisement,"Flit; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb36870106/_2.jpg,Flit advertisement proof,"Flit; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb85334712/_2.jpg,Contractor postal cards,"Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb47450394/_2.jpg,Contractor postal cards,"Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb33115815/_2.jpg,Flit advertisement proof,"Flit; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb6280893v/_2.jpg,Standard Oil Company - Essolube advertisement,"Seuss, Dr.; Standard Oil Company",1930-1940
http://library.ucsd.edu/dc/object/bb00009727/_1_2.jpg,Standard Oil Company - Essomarine advertisement,"Seuss, Dr.; Standard Oil Company",1930-1940
http://library.ucsd.edu/dc/object/bb5154599g/_1_2.jpg,Standard Oil Company - Essomarine advertisement,"Seuss, Dr.; Standard Oil Company",1930-1940
http://library.ucsd.edu/dc/object/bb3857660v/_1_2.jpg,Ford Motor Company advertisement,"Flit; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb8704119x/_1_2.jpg,National Broadcasting Company Brochure,"National Broadcasting Company, inc; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb0342272g/_1_2.jpg,National Broadcasting Company Brochure,"National Broadcasting Company, inc; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb2902019g/_1_2.jpg,National Broadcasting Company Brochure,"National Broadcasting Company, inc; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb0649442v/_1_2.jpg,Standard Oil Company - Essomarine advertisement,"Seuss, Dr.; Standard Oil Company",1930-1940
http://library.ucsd.edu/dc/object/bb9045422z/_1_2.jpg,General Electric advertisement,"General Electric; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb4198958p/_1_2.jpg,National Broadcasting Company Brochure,"National Broadcasting Company, inc; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb67928390/_1_2.jpg,Stromberg-Carlson advertisement,"Seuss, Dr.; Stromberg-Carlson",1930-1940
http://library.ucsd.edu/dc/object/bb8362818m/_1_2.jpg,Flit advertisement,"Flit; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb93867228/_1_2.jpg,National Broadcasting Company Brochure,"National Broadcasting Company, inc; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb1297912n/_1_2.jpg,General Electric advertisement,"General Electric; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb57689409/_1_2.jpg,Flit advertisement,"Flit; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb7748480v/_1_2.jpg,Standard Oil Company - Essomarine advertisement,"Seuss, Dr.; Standard Oil Company",1930-1940
http://library.ucsd.edu/dc/object/bb6451539p/_1_2.jpg,Standard Oil Company - Essomarine advertisement,"Seuss, Dr.; Standard Oil Company",1930-1940
http://library.ucsd.edu/dc/object/bb80897822/_1_2.jpg,National Broadcasting Company Brochure,"National Broadcasting Company, inc; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb79873937/_2.jpg,Standard Oil Company - Essolube oil charge card,"Seuss, Dr.; Standard Oil Company",1930-1940
http://library.ucsd.edu/dc/object/bb2287679r/_2.jpg,Gilbert and Baker advertisement,"Gilbert and Baker; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb95232404/_2.jpg,Vico Motor Oil advertisement,"Seuss, Dr.; Standard Oil Company",1930-1940
http://library.ucsd.edu/dc/object/bb3448099x/_2.jpg,Flit advertisement,"Flit; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb9147812f/_2.jpg,Holly Sugar advertisement,"Holly Sugar; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb5700678z/_2.jpg,Contractor postal cards,"Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb6656319k/_2.jpg,Flit advertisement,"Flit; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb73730509/_2.jpg,Flit advertisement proof,"Flit; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb02057503/_2.jpg,Vico Motor Oil advertisement,"Seuss, Dr.; Standard Oil Company",1930-1940
http://library.ucsd.edu/dc/object/bb8669989w/_2.jpg,Flit advertisement proof,"Flit; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb6997618c/_2.jpg,Flit advertisement,"Flit; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb0478789s/_2.jpg,Holly Sugar advertisement,"Holly Sugar; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb0103360m/_2.jpg,Flit advertisement proof,"Flit; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb5359379c/_2.jpg,Flit advertisement,"Flit; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb1059000q/_2.jpg,Holly Sugar advertisement,"Holly Sugar; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb4130700n/_2.jpg,Holly Sugar advertisement,"Holly Sugar; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb1878119d/_2.jpg,Flit advertisement proof,"Flit; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb87382530/_2.jpg,Flit advertisement proof,"Flit; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb9762148m/_2.jpg,Flit advertisement proof book,"Flit; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb54958988/_1_2.jpg,National Broadcasting Company Brochure,"National Broadcasting Company, inc; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb2355941w/_2.jpg,Contractor postal cards,"Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb1605081m/_2.jpg,Flit advertisement proof,"Flit; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb65539295/_2.jpg,Flit advertisement,"Flit; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb3960050h/_2.jpg,Flit advertisement,"Flit; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb0035100f/_2.jpg,Flit advertisement,"Flit; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb39259215/_2.jpg,National Broadcasting Company Vital Spots advertisement,"National Broadcasting Company, inc; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb31068004/_2.jpg,Gilbert and Baker advertisement,"Gilbert and Baker; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb7031753m/_2.jpg,Vico Motor Oil advertisement,"Seuss, Dr.; Standard Oil Company",1930-1940
http://library.ucsd.edu/dc/object/bb18098602/_2.jpg,Standard Oil Company - Essolube advertisement,"Seuss, Dr.; Standard Oil Company",1930-1940
http://library.ucsd.edu/dc/object/bb25607211/_2.jpg,Standard Oil Company - Essomarine advertisement,"Seuss, Dr.; Standard Oil Company",1930-1940
http://library.ucsd.edu/dc/object/bb72365320/_2.jpg,Warren Telechron Company advertisement,"Seuss, Dr.; Warren Telechron Co.",1930-1940
