url,full_title_tesim,spotlight_upload_attribution_tesim,spotlight_upload_date_tesim
http://library.ucsd.edu/dc/object/bb73387673/_2.jpg,"Easy, There, EASY! No Acrobat is Fall-Proof!","Seuss, Dr.",1942-07-17
http://library.ucsd.edu/dc/object/bb5529878n/_2.jpg,Designed exclusively for going UP,"Seuss, Dr.",1942-05-19
http://library.ucsd.edu/dc/object/bb1502538g/_2.jpg,Jeepers! It's time I took this problem seriously!,"Seuss, Dr.",1942-07-24
http://library.ucsd.edu/dc/object/bb9045267k/_2.jpg,"Today's the big day, folks. Vote early and often!","Seuss, Dr.",1941-11-04
http://library.ucsd.edu/dc/object/bb3584467f/_2.jpg,The Battle of the Easy Chair,"Seuss, Dr.",1941-12-31
http://library.ucsd.edu/dc/object/bb0819937r/_2.jpg,"But, mein lieber louse Laval... it isn't how many Frenchmen you bite, it's how many you really infect!","Seuss, Dr.",1942-08-08
http://library.ucsd.edu/dc/object/bb51885778/_2.jpg,Himmel! We've been standing here exactly one year!,"Seuss, Dr.",1942-06-22
http://library.ucsd.edu/dc/object/bb35503367/_2.jpg,He's testing das new secret weapon for 1943...,"Seuss, Dr.",1942-10-15
http://library.ucsd.edu/dc/object/bb1195369t/_2.jpg,Science Marches On,"Seuss, Dr.",1941-09-02
http://library.ucsd.edu/dc/object/bb50179298/_2.jpg,Looks like the boys are changing their game laws,"Seuss, Dr.",1941-10-17
http://library.ucsd.edu/dc/object/bb38916372/_2.jpg,Ho Hum! No chance of contagion.,"Seuss, Dr.",1941-05-15
http://library.ucsd.edu/dc/object/bb7987238g/_2.jpg,"In Russia a chap, so we're told, knits an object strange to behold. Asked what is his gag, he says ""This is the bag that the great Adolf will hold!","Seuss, Dr.",1941-08-11
http://library.ucsd.edu/dc/object/bb9011136c/_2.jpg,The Unexpected Target,"Seuss, Dr.",1941-07-04
http://library.ucsd.edu/dc/object/bb0854069n/_2.jpg,The Optimist's Picnic,"Seuss, Dr.",1942-05-26
