url,full_title_tesim,spotlight_upload_attribution_tesim,spotlight_upload_date_tesim
http://library.ucsd.edu/dc/object/bb16735826/_2.jpg,"Hondureños, vamos a vencer!","Flores Facussé, Carlos; Partido Liberal de Honduras",between 1984 and 2009
http://library.ucsd.edu/dc/object/bb91480547/_2.jpg,Diputada de la Sociedad Civil,"Campbell B., Epsy (Campbell Barr); Partido de la Revolución Democrática (Mexico)",between 1984 and 2009
http://library.ucsd.edu/dc/object/bb7236775c/_2.jpg,Costa Rica merece estar mejor,"Araya Monge, Rolando, 1947-; Partido Liberación Nacional",between 1984 and 2009
http://library.ucsd.edu/dc/object/bb3107044z/_2.jpg,Aún nos faltan lugares que ocupar...en el espacio cívico político del país ?participemos todas!,Guatemala. Tribunal Supremo Electoral,between 1984 and 2009
http://library.ucsd.edu/dc/object/bb22537959/_2.jpg,Boleta Electoral Para Representantes Ante La Asamblea Nacional Región 1,Consejo Supremo Electoral (Nicaragua),between 1984 and 2009
http://library.ucsd.edu/dc/object/bb7270902c/_2.jpg,Héctor Silva Presidente,"Centro Democrático Unido (El Salvador); Silva Argüello, Héctor",between 1984 and 2009
http://library.ucsd.edu/dc/object/bb0444905z/_2.jpg,Yo le creo a Daniel,"Frente Sandinista de Liberación Nacional; Ortega, Daniel",between 1984 and 2009
http://library.ucsd.edu/dc/object/bb57009218/_2.jpg,Boleta Electoral Para Representantes A La Asamblea Nacional Región II,Consejo Supremo Electoral (Nicaragua),between 1984 and 2009
http://library.ucsd.edu/dc/object/bb8636104g/_2.jpg,Maduro Future Seguro,"Maduro, Ricardo, 1946-; Partido Nacional de Honduras",between 1984 and 2009
http://library.ucsd.edu/dc/object/bb4267466p/_2.jpg,Partido arnulfista,"Miguel Alemán, José; Partido Arnulfista (Panama)",between 1984 and 2009
http://library.ucsd.edu/dc/object/bb66565628/_2.jpg,Boleta Electoral Para Representantes A La Asamblea Nacional Región III,Consejo Supremo Electoral (Nicaragua),between 1984 and 2009
http://library.ucsd.edu/dc/object/bb1946625f/_2.jpg,Nando Lardizábal,"Lardizábal, Nando; Partido Nacional de Honduras",between 1984 and 2009
http://library.ucsd.edu/dc/object/bb25950941/_2.jpg,Por Nuestra Libertad,Frente Sandinista de Liberación Nacional,between 1984 and 2009
