url,full_title_tesim,spotlight_upload_attribution_tesim,spotlight_upload_date_tesim
http://library.ucsd.edu/dc/object/bb3824064v/_1.pdf,Build-A-Bee,,2007
http://library.ucsd.edu/dc/object/bb12301807/_1.pdf,Africanized Honeybees,,2007
http://library.ucsd.edu/dc/object/bb5121003d/_1.pdf,Analysis of Honeybee Aggression,,2005
http://library.ucsd.edu/dc/object/bb9933331c/_1.pdf,How a Social Insect Colony Works,,2007
http://library.ucsd.edu/dc/object/bb7032284r/_1_1.pdf,Pollinators in Peril,,2013
http://library.ucsd.edu/dc/object/bb9592033j/_1.pdf,Predators and Pollinators: Smells of Danger,,2012
http://library.ucsd.edu/dc/object/bb0888881v/_1_1.pdf,Observing Natural Bee Behavior,,2012
http://library.ucsd.edu/dc/object/bb2185821x/_1_1.pdf,Honeybee Flower Preference Modeling,,2012
http://library.ucsd.edu/dc/object/bb76807535/_1_1.pdf,Analysis of Stingless Bee Aggression,,2005
http://library.ucsd.edu/dc/object/bb34827621/_1.ppt,Example of a Self Introduction,,2012
http://library.ucsd.edu/dc/object/bb2527121q/_1.pdf,Why Are Bees Ecologically Important?,,2007
http://library.ucsd.edu/dc/object/bb73394544/_1_1.ppt,Bee Dissection,,2012
